Word Frequencies:
suspect: 84
crow: 64
flies: 124
slander: 94
wooed: 28
vice: 112
presentst: 2
pure: 196
unstained: 12
passed: 70
ambush: 18
victor: 22
charged: 44
tie: 50
envy: 118
enlarged: 4
kingdoms: 74
owe: 160
mourn: 62
surly: 22
bell: 76
warning: 30
fled: 196
vile: 248
vilest: 10
nay: 1198
line: 90
remember: 416
thinking: 98
perhaps: 92
compounded: 22
clay: 32
wise: 350
task: 70
recite: 2
devise: 98
willingly: 72
impart: 22
untrue: 14
shamed: 30
yellow: 60
few: 140
boughs: 24
ruined: 16
choirs: 2
late: 414
birds: 114
sang: 2
seest: 110
twilight: 2
sunset: 8
fadeth: 2
seals: 22
glowing: 12
ashes: 48
deathbed: 18
expire: 18
consumed: 12
nourished: 16
perceivst: 2
arrest: 56
bail: 34
carry: 192
memorial: 6
reviewest: 2
review: 4
consecrate: 18
dregs: 14
coward: 186
wretchs: 4
contains: 24
remains: 88
food: 150
sweetseasoned: 2
showers: 34
ground: 374
peace: 1094
strife: 88
twixt: 160
miser: 8
enjoyer: 2
doubting: 16
filching: 6
counting: 8
bettered: 8
feasting: 20
clean: 48
starved: 22
possessing: 4
pursuing: 10
pine: 46
surfeit: 38
gluttoning: 2
variation: 6
glance: 28
aside: 960
newfound: 4
methods: 4
compounds: 12
noted: 48
word: 1030
showing: 42
proceed: 144
always: 130
dressing: 2
spending: 6
already: 300
spent: 150
telling: 54
dial: 18
vacant: 12
minds: 138
imprint: 2
learning: 62
mouthed: 6
graves: 74
dials: 12
shady: 8
stealth: 20
progress: 26
eternity: 28
contain: 34
commit: 84
blanks: 10
children: 238
nursed: 10
delivered: 102
brain: 166
